"","BRTE_TN","BRTE_TC","BRTE_mass","Soil_BD","Soil_OM","Soil_TN","netMineralization","netNitrification","shrub_cover_PQ","Aspect","slope","nearest_sage.m.","nearest_shrub.m.","EAF","EAG","EPF","EPG","NAF","NPF","NPG","NShrub","BRTE_cover","last_year_severity","MK_heat_load","sum_spp","Elevation","FF","LYB","TSF","folded_aspect","allotment","AUM_acre","mean_interval","Seedlings","Seedling_presence","burned","soil_carbon_gm2","soil_nitrogen_gm2","BRTE_carbon_gm2","BRTE_nitrogen_gm2"
"F00_0_XX8",0.92,44.21,63.33,1.543287955,1,0.06,-0.08,-0.04,23.2187,290,2,"0","0",0,6.61111,0,0,0.03086,0,0.01389,4.69841,13.2222,NA,-0.2739,5,1394.75,0,NA,NA,70,"Eleven Mile Flat",0.01069,NA,13.7778,1,"unburned",154.3287955,9.25972773,31.1091033333333,0.647373333333333
"F00_1_004",1.02,41.59,151,1.41543265,1.14,0.07,0,-0.04,0,280,1,">200",">200",0.43519,21.2222,0.46296,0,0.01852,0,0,0,42.4444,2,-0.2731,6,1420.7,2,2012,4,115,"Twenty Five",0.04013,28,0,0,"burned",161.3593221,9.90802855,69.7787777777778,1.71133333333333
"F00_3_019",1.91,42.05,12.91,1.732794138,0.59,0.05,-0.11,-0.01,0,300,5,">200",">200",1.25926,2.05556,0,0,0,0,7.05556,0,4.11111,3,-0.3108,5,1431.28,3,1999,17,125,"Twenty Five",0.04013,7.5,0,0,"burned",102.234854142,8.66397069,6.03183888888889,0.273978888888889
"F01_0_037",0.76,42.05,25.53,1.461826475,1.93,0.11,0.08,0,35.9767,162,4,"0",">200",0.91667,5.66667,0,0,0,0.08333,1.40278,2.79365,11.3333,NA,-0.3522,7,1573.55,0,NA,NA,105,"Little Humboldt",0.08055,NA,0,0,"unburned",282.132509675,16.080091225,11.9281833333333,0.215586666666667
"F01_1_XX9",0.66,43.08,90.33,1.376905579,1.43,0.08,-0.14,-0.02,0,178,3,">200",">200",0.06481,19.1667,0.03704,0,0,0,0,0,38.3333,3,-0.2467,3,1472.61,1,1999,17,117,"Little Humboldt",0.08055,4,0,0,"burned",196.897497797,11.015244632,43.23796,0.66242
"F01_2_X10",0.64,42.54,84.09,1.498026647,1.25,0.08,-0.05,-0.01,0,192,3,">200",">200",0.02778,9.5,0.2963,0,0,0,0,0,19,3,-0.2953,3,1469.01,2,1999,17,133,"Little Humboldt",0.08055,4,0,0,"burned",187.253330875,11.984213176,39.74654,0.597973333333333
"F02_0_097",NA,NA,0.01,1.517591095,1.07,0.07,-0.12,-0.1,19.6307,285,5,"0","0",0.12037,0.16667,0,0,0,0,2.18056,2.70635,0.33333,NA,-0.2501,9,1501.93,0,NA,NA,147,"STAR PEAK",0.01838,NA,0.11111,1,"unburned",162.382247165,10.623137665,NA,NA
"F02_1_XX6",0.84,43.69,107.81,1.592313375,0.69,0.05,0.04,0.01,0,250,1,">200","50-150",1.38889,20.9444,0,0,0,0,0,0,41.8889,3,-0.2856,2,1445.94,1,1985,31,120,"STAR PEAK",0.01838,NA,0,0,"burned",109.869622875,7.961566875,52.3357655555556,1.00622666666667
"F02_2_XX7",0.5,43.42,115.35,1.596784863,0.92,0.06,0.04,0,0,230,2,">200","0-50",0.75926,11,0,0,0,0,0,0,21.7778,2,-0.2807,4,1458.68,2,2001,15,155,"STAR PEAK",0.01838,16,0,0,"burned",146.904207396,9.580709178,55.6499666666667,0.640833333333333
"F02_3_XX5",0.63,43.33,84.78,1.643171534,0.78,0.06,0,-0.03,0,236,3,">200",">200",0.5,24.9444,0,0.66667,0,0,0,0,49.8889,2,-0.2867,4,1437.29,3,2001,15,175,"STAR PEAK",0.01838,8,0,0,"burned",128.167379652,9.859029204,40.81686,0.59346
